Location,CURRENT PLATE,OWNER / Operator,VEHICLE YEAR,Vehicle year +20,Euro Class,NZTA Registered TARE Weight,NZTA MAKE MODEL SUBMODEL,Vehicle ID,Include/Exclude
Auckland,KAG563,Go Bus,2016,2036,EURO V,"9,320",MAN 16.250 HOCL/E5,,Include
Auckland,KAG600,Go Bus,2016,2036,EURO V,"9,320",MAN 16.250 HOCL/E5,,Include
Auckland,MWR447,Go Bus,2016,2036,EURO V,"9,380",MAN 15.250 HOCL/E5,,Include
Auckland,KBA667,Go Bus,2016,2036,EURO V,"9,340",MAN 16.250 HOCL/E5,,Include
Auckland,KBA718,Go Bus,2016,2036,EURO V,"9,340",MAN 15.250 HOCL/E5,,Include
Auckland,FSS700,Go Bus,2011,2031,EURO IV,"9,100",MAN 16.240 HOCL/E4,,Include
Auckland,FSS702,Go Bus,2011,2031,EURO IV,"9,100",MAN 16.240 HOCL/E4,,Include
Auckland,FSS708,Go Bus,2011,2031,EURO IV,"9,100",MAN 16.240 HOCL/E4,,Include
Auckland,FTK858,Go Bus,2011,2031,EURO IV,"9,180",MAN 16.240 HOCL/E4,,Include
Auckland,MGY221,Go Bus,2019,2039,EURO V,"11,000",MAN 18.290 A94,,Include
Auckland,JWN267,Go Bus,2016,2036,EURO V,"11,060",MAN 18.290 HOCL/E5,,Include
Auckland,JWN269,Go Bus,2016,2036,EURO V,"11,060",MAN 18.290 HOCL/E5,,Include
Auckland,JYG27,Go Bus,2016,2036,EURO V,"11,060",MAN 18.290 HOCL/E5,,Include
Auckland,JYG31,Go Bus,2016,2036,EURO V,"11,060",MAN 18.290 HOCL/E5,,Include
Auckland,JYG75,Go Bus,2016,2036,EURO V,"11,060",MAN 18.290 HOCL/E5,,Include
Auckland,JYG98,Go Bus,2016,2036,EURO V,"11,060",MAN 18.290 HOCL/E5,,Include
Auckland,JZB302,Go Bus,2016,2036,EURO V,"11,060",MAN 18.290 HOCL/E5,,Include
Auckland,KBA657,Go Bus,2016,2036,EURO V,"10,980",MAN 18.290 HOCL/E5,,Include
Auckland,KBA680,Go Bus,2016,2036,EURO V,"10,980",MAN 18.290 HOCL/E5,,Include
Auckland,KBA724,Go Bus,2016,2036,EURO V,"10,980",MAN 18.290 HOCL/E5,,Include
Auckland,KBY351,Go Bus,2016,2036,EURO V,"11,060",MAN 18.290 HOCL/E5,,Include
Auckland,KBY384,Go Bus,2016,2036,EURO V,"11,060",MAN 18.290 HOCL/E5,,Include
Auckland,KCU736,Go Bus,2016,2036,EURO V,"11,060",MAN 18.290 HOCL/E5,,Include
Auckland,KDL491,Go Bus,2016,2036,EURO V,"11,060",MAN 18.290 HOCL/E5,,Include
Auckland,KDL467,Go Bus,2016,2036,EURO V,"11,060",MAN 18.290 HOCL/E5,,Include
Auckland,KEB931,Go Bus,2016,2036,EURO V,"12,860",MAN ND323F A95,,Include
Auckland,KDW222,Go Bus,2016,2036,EURO V,"12,830",MAN ND323F A95,,Include
Auckland,KDW258,Go Bus,2016,2036,EURO V,"12,830",MAN ND323F A95,,Include
Auckland,KDW233,Go Bus,2016,2036,EURO V,"12,860",MAN ND323F A95,,Include
Auckland,KDW231,Go Bus,2016,2036,EURO V,"12,860",MAN ND323F A95,,Include
Auckland,KDW235,Go Bus,2016,2036,EURO V,"12,830",MAN ND323F A95,,Include
Auckland,KDW240,Go Bus,2016,2036,EURO V,"12,860",MAN ND323F A95,,Include
Auckland,KDW260,Go Bus,2016,2036,EURO V,"12,830",MAN ND323F A95,,Include
Auckland,KDW221,Go Bus,2016,2036,EURO V,"12,830",MAN ND323F A95,,Include
Auckland,KDW230,Go Bus,2016,2036,EURO V,"12,860",MAN ND323F A95,,Include
Auckland,KDW232,Go Bus,2016,2036,EURO V,"12,860",MAN ND323F A95,,Include
Auckland,KDW259,Go Bus,2016,2036,EURO V,"12,830",MAN ND323F A95,,Include
Auckland,KEB921,Go Bus,2016,2036,EURO V,"12,860",MAN ND323F A95,,Include
Auckland,KCP291,Go Bus,2016,2036,EURO V,"12,630",VOLVO B7RLE 6X2,,Include
Auckland,KDL97,Go Bus,2016,2036,EURO V,"12,470",VOLVO B7RLE 6X2,,Include
Auckland,LZA336,Go Bus,2016,2036,EURO V,"12,450",VOLVO B7RLE ,,Include
Auckland,KDS531,Go Bus,2016,2036,EURO V,"12,580",VOLVO B7RLE 6X4,,Include
Auckland,KEB929,Go Bus,2016,2036,EURO V,"12,720",VOLVO B7RLE 6X2,,Include
Auckland,KDW257,Go Bus,2016,2036,EURO V,"12,720",VOLVO B7RLE 6X2,,Include
Auckland,KDW241,Go Bus,2016,2036,EURO V,"12,720",VOLVO B7RLE 6X4,,Include
Auckland,KEB965,Go Bus,2016,2036,EURO V,"12,720",VOLVO B7RLE 6X2,,Include
Auckland,KEB930,Go Bus,2016,2036,EURO V,"12,720",VOLVO B7RLE 6X2,,Include
Auckland,FQD620,Go Bus,2010,2030,EURO IV,"9,900",FACTORY BUILT ZHONGTONG LCK6112G,,Include
Auckland,FQD619,Go Bus,2010,2030,EURO IV,"9,900",FACTORY BUILT ZHONGTONG LCK6112G,,Include
Auckland,FQD602,Go Bus,2010,2030,EURO IV,"9,900",FACTORY BUILT ZHONGTONG LCK6112G,,Include
Auckland,JZB370,Go Bus,2016,2036,EURO V,"9,320",MAN 16.250 HOCL/E5,,Include
Auckland,KAG584,Go Bus,2016,2036,EURO V,"9,280",MAN 15.250 HOCL/E5,,Include
Auckland,FQD592,Go Bus,2010,2030,EURO IV,"9,900",FACTORY BUILT ZHONGTONG LCK6112G,,Include
Auckland,KYB626,Go Bus,2017,2037,EURO V,"8,540",MAN 14.250 A66,,Include
Auckland,KYZ126,Go Bus,2017,2037,EURO V,"8,540",MAN 14.250 A66,,Include
Auckland,KYC401,Go Bus,2017,2037,EURO V,"8,540",MAN 14.250 A66,,Include
Auckland,KYC487,Go Bus,2017,2037,EURO V,"8,540",MAN 14.250 A66,,Include
Auckland,KYY646,Go Bus,2017,2037,EURO V,"8,540",MAN 14.250 A66,,Include
Auckland,KYZ229,Go Bus,2017,2037,EURO V,"8,540",MAN 14.250 A66,,Include
Auckland,MQA1,Go Bus,2018,2038,EURO V,"9,260",MAN 16.290 A94,,Include
Auckland,LDY346,Go Bus,2018,2038,EURO V,"9,260",MAN 16.290 HOCL/E5,,Include
Auckland,LFG279,Go Bus,2018,2038,EURO V,"9,260",MAN 16.290 A94,,Include
Auckland,LEB596,Go Bus,2018,2038,EURO V,"9,260",MAN 16.290 A94,,Include
Auckland,MKH180,Go Bus,2018,2038,EURO V,"9,260",MAN 16.290 A94,,Include
Auckland,LFG273,Go Bus,2018,2038,EURO V,"9,260",MAN 16.290 A94,,Include
Auckland,LFG277,Go Bus,2018,2038,EURO V,"9,260",MAN 16.290 A94,,Include
Auckland,LFG284,Go Bus,2018,2038,EURO V,"9,260",MAN 16.290 A94,,Include
Auckland,LFG360,Go Bus,2018,2038,EURO V,"9,260",MAN 16.290 ,,Include
Auckland,LFG361,Go Bus,2018,2038,EURO V,"9,260",MAN 16.290 A94,,Include
Auckland,LFG364,Go Bus,2018,2038,EURO V,"9,260",MAN 16.290 ,,Include
Auckland,LFG376,Go Bus,2018,2038,EURO V,"9,260",MAN 16.290 ,,Include
Auckland,LFG378,Go Bus,2018,2038,EURO V,"9,260",MAN 16.290 A94,,Include
Auckland,LFG381,Go Bus,2018,2038,EURO V,"9,260",MAN 16.290 ,,Include
Auckland,LFG399,Go Bus,2018,2038,EURO V,"9,260",MAN 16.290 ,,Include
Auckland,LHR302,Go Bus,2018,2038,EURO V,"9,260",MAN 16.250 ,,Include
Auckland,LHR309,Go Bus,2018,2038,EURO V,"9,260",MAN 16.250 ,,Include
Auckland,LHR315,Go Bus,2018,2038,EURO V,"9,260",MAN 16.250 ,,Include
Auckland,LHR327,Go Bus,2018,2038,EURO V,"9,260",MAN 16.250 ,,Include
Auckland,LHR356,Go Bus,2018,2038,EURO V,"9,260",MAN 16.250 ,,Include
Auckland,LHR389,Go Bus,2018,2038,EURO V,"9,240",MAN 16.250 A80,,Include
Auckland,LHR390,Go Bus,2018,2038,EURO V,"9,240",MAN 16.250 A80,,Include
Auckland,LHR376,Go Bus,2018,2038,EURO V,"9,260",MAN 16.250 A80,,Include
Auckland,LKJ803,Go Bus,2018,2038,EURO V,"9,260",MAN 16.250 A80,,Include
Auckland,LKK21,Go Bus,2018,2038,EURO V,"9,260",MAN 16.250 A80,,Include
Auckland,LKK109,Go Bus,2018,2038,EURO V,"9,260",MAN 16.250 A80,,Include
Auckland,LKK121,Go Bus,2018,2038,EURO V,"9,260",MAN 16.250 A80,,Include
Auckland,LKK147,Go Bus,2018,2038,EURO V,"9,260",MAN 16.250 A80,,Include
Auckland,LKK152,Go Bus,2018,2038,EURO V,"9,260",MAN 16.250 A80,,Include
Auckland,LKK157,Go Bus,2018,2038,EURO V,"9,260",MAN 16.250 A80,,Include
Auckland,LKK188,Go Bus,2018,2038,EURO V,"9,260",MAN 16.250 A80,,Include
Auckland,KRA874,Go Bus,2017,2037,EURO V,"9,380",MAN 16.250 A80,,Include
Auckland,KRM67,Go Bus,2017,2037,EURO V,"9,420",MAN 16.250 A80,,Include
Auckland,KRM97,Go Bus,2017,2037,EURO V,"9,280",MAN 16.250 A80,,Include
Auckland,KRM106,Go Bus,2017,2037,EURO V,"9,380",MAN 16.250 A801114,,Include
Auckland,KTB279,Go Bus,2017,2037,EURO V,"9,380",MAN 16.250 HOCL/E5,,Include
Auckland,KSD655,Go Bus,2017,2037,EURO V,"9,380",MAN 16.250 A80,,Include
Auckland,KTB288,Go Bus,2017,2037,EURO V,"9,380",MAN 16.250 HOCL/E5,,Include
Auckland,KTB290,Go Bus,2017,2037,EURO V,"9,380",MAN 16.250 HOCL/E5,,Include
Auckland,KTP770,Go Bus,2017,2037,EURO V,"9,380",MAN 16.250 HOCL/E5,,Include
Auckland,KSD668,Go Bus,2017,2037,EURO V,"9,380",MAN 16.250 A80,,Include
Auckland,KUH630,Go Bus,2017,2037,EURO V,"9,340",MAN 16.250 A80,,Include
Auckland,KWJ24,Go Bus,2017,2037,EURO V,"9,340",MAN 16.250 A80,,Include
Auckland,KYB461,Go Bus,2017,2037,EURO V,"9,340",MAN 16.250 A80,,Include
Auckland,KWJ123,Go Bus,2017,2037,EURO V,"9,340",MAN 16.250 A80,,Include
Auckland,KWN204,Go Bus,2017,2037,EURO V,"9,400",MAN 16.250 A80,,Include
Auckland,KWN260,Go Bus,2017,2037,EURO V,"9,360",MAN 16.250 A80,,Include
Auckland,KYB516,Go Bus,2017,2037,EURO V,"9,360",MAN 16.250 A80,,Include
Auckland,LDS60,Go Bus,2018,2038,EURO V,"9,260",MAN 16.290 A94,,Include
Auckland,LFG306,Go Bus,2018,2038,EURO V,"11,020",MAN 18.290 A94,,Include
Auckland,KTG66,Go Bus,2017,2037,EURO V,"11,100",MAN 18.290 A94,,Include
Auckland,KTY735,Go Bus,2017,2037,EURO V,"11,100",MAN 18.290 HOCL/E5,,Include
Auckland,KTG65,Go Bus,2017,2037,EURO V,"11,100",MAN 18.290 A94,,Include
Auckland,KUH602,Go Bus,2017,2037,EURO V,"11,100",MAN 18.290 A94,,Include
Auckland,KTG85,Go Bus,2017,2037,EURO V,"11,100",MAN 18.290 A94,,Include
Auckland,KTG135,Go Bus,2017,2037,EURO V,"11,100",MAN 18.290 HOCL/E5 A94,,Include
Auckland,KUH542,Go Bus,2017,2037,EURO V,"11,100",MAN 18.290 A94,,Include
Auckland,KUH603,Go Bus,2017,2037,EURO V,"11,100",MAN 18.290 A94,,Include
Auckland,GCH884,Go Bus,2011,2031,EURO V,"9,900",BCI CITIRIDER ,,Include
Auckland,KDS593,Go Bus,2016,2036,EURO V,"12,710",VOLVO B7R B7RLE6X2,,Include
Auckland,KZK404,Go Bus,2017,2037,EURO V,"12,760",VOLVO B7RLE 6X2,,Include
Auckland,KZK484,Go Bus,2017,2037,EURO V,"12,880",VOLVO B7RLE 6X2 STEERING TAG,,Include
Auckland,KZK591,Go Bus,2017,2037,EURO V,"12,750",VOLVO B7RLE 6X2,,Include
Auckland,KZK602,Go Bus,2017,2037,EURO V,"12,770",VOLVO B7RLE 6X2 STEERING TAG,,Include
Auckland,KZK617,Go Bus,2017,2037,EURO V,"12,790",VOLVO B7RLE 6X2 STEERING TAG,,Include
Auckland,KZK632,Go Bus,2017,2037,EURO V,"12,440",VOLVO B7RLE 6X2 STEERING TAG,,Include
Auckland,LAA40,Go Bus,2017,2037,EURO V,"12,440",VOLVO B7RLE 6X2 STEERING TAG,,Include
Auckland,LDS32,Go Bus,2018,2038,EURO V,"9,360",MAN 16.290 A94,,Include
Auckland,LKK164,Go Bus,2018,2038,EURO V,"9,260",MAN 16.250 A80,,Include
Auckland,LKK172,Go Bus,2018,2038,EURO V,"9,260",MAN 16.250 A80,,Include
Auckland,LKK192,Go Bus,2018,2038,EURO V,"9,260",MAN 16.250 A80,,Include
Auckland,LLF933,Go Bus,2018,2038,EURO V,"9,260",MAN 16.250 A80,,Include
Auckland,LLF934,Go Bus,2018,2038,EURO V,"9,260",MAN 16.250 A80,,Include
Auckland,LLF948,Go Bus,2018,2038,EURO V,"9,260",MAN 16.250 A80,,Include
Auckland,LLF959,Go Bus,2018,2038,EURO V,"9,260",MAN 16.250 A80,,Include
Auckland,LLF972,Go Bus,2018,2038,EURO V,"9,260",MAN 16.250 A80,,Include
Auckland,LLF977,Go Bus,2018,2038,EURO V,"9,260",MAN 16.250 A80,,Include
Auckland,LLG7,Go Bus,2018,2038,EURO V,"9,260",MAN 16.250 A80,,Include
Auckland,LLG18,Go Bus,2018,2038,EURO V,"9,260",MAN 16.250 A80,,Include
Auckland,LNC719,Go Bus,2018,2038,EURO V,"9,260",MAN 16.250 A80,,Include
Auckland,LLG39,Go Bus,2018,2038,EURO V,"9,260",MAN 16.250 A80,,Include
Auckland,LNC797,Go Bus,2018,2038,EURO V,"9,260",MAN 16.250 A80,,Include
Auckland,LNC832,Go Bus,2018,2038,EURO V,"9,260",MAN 16.250 A80,,Include
Auckland,LNY275,Go Bus,2018,2038,EURO V,"9,260",MAN 16.250 A80,,Include
Auckland,LNY363,Go Bus,2018,2038,EURO V,"9,260",MAN 16.250 A80,,Include
Auckland,LEB660,Go Bus,2018,2038,EURO V,"11,020",MAN 18.290 A94,,Include
Auckland,LEB685,Go Bus,2018,2038,EURO V,"11,020",MAN 18.290 A94,,Include
Auckland,LFG295,Go Bus,2018,2038,EURO V,"11,020",MAN 18.290 A94,,Include
Auckland,LFG346,Go Bus,2018,2038,EURO V,"11,020",MAN 18.290 A94,,Include
Auckland,LFG298,Go Bus,2018,2038,EURO V,"11,020",MAN 18.290 A94,,Include
Auckland,LFG314,Go Bus,2018,2038,EURO V,"11,020",MAN 18.290 A94,,Include
Auckland,LPT174,Go Bus,2018,2038,EURO V,"9,260",MAN 16.250 A80,,Include
Auckland,LPT176,Go Bus,2018,2038,EURO V,"9,260",MAN 16.250 A80,,Include
Auckland,LNY374,Go Bus,2018,2038,EURO V,"9,260",MAN 16.250 A80,,Include
Auckland,LNY356,Go Bus,2018,2038,EURO V,"9,260",MAN 16.250 A80,,Include
Auckland,LPT181,Go Bus,2018,2038,EURO V,"9,260",MAN 16.250 A80,,Include
Auckland,AUM733,Howick And Eastern Buses,2002,2022,EURO III,"8,080",MAN 12.223 SLF,,Include
Auckland,HHD770,Howick And Eastern Buses,2003,2023,EURO III,"7,990",MAN 12.223 SLF,,Include
Auckland,LFD287,Howick And Eastern Buses,2003,2023,EURO III,"8,010",MAN 12.223 SLF,,Include
Auckland,BPT451,Howick And Eastern Buses,2003,2023,EURO III,"8,070",MAN 12.223 SLF,,Include
Auckland,BPT454,Howick And Eastern Buses,2003,2023,EURO III,"7,990",MAN 12.223 SLF,,Include
Auckland,BPT459,Howick And Eastern Buses,2003,2023,EURO III,"8,000",MAN 12.223 SLF,,Include
Auckland,GEH830,Howick And Eastern Buses,2011,2031,EURO IV,"8,700",ALEXANDER DENNIS ENVIRO 200 ,,Include
Auckland,GFK488,Howick And Eastern Buses,2012,2032,EURO IV,"8,700",ALEXANDER DENNIS ENVIRO 200 ,,Include
Auckland,GKQ568,Howick And Eastern Buses,2012,2032,EURO IV,"8,700",ALEXANDER DENNIS ENVIRO 200 ,,Include
Auckland,GLL662,Howick And Eastern Buses,2012,2032,EURO IV,"8,700",ALEXANDER DENNIS ENVIRO 200 ,,Include
Auckland,GLY56,Howick And Eastern Buses,2012,2032,EURO V,"8,700",ALEXANDER DENNIS ENVIRO 200 ,,Include
Auckland,HJH6,Howick And Eastern Buses,2014,2034,EURO V,"8,700",ALEXANDER DENNIS ENVIRO 200 ,,Include
Auckland,HKF1,Howick And Eastern Buses,2014,2034,EURO V,"8,700",ALEXANDER DENNIS ENVIRO 200 ,,Include
Auckland,HKF370,Howick And Eastern Buses,2014,2034,EURO V,"8,700",ALEXANDER DENNIS ENVIRO 200 ,,Include
Auckland,HKF376,Howick And Eastern Buses,2014,2034,EURO V,"8,700",ALEXANDER DENNIS ENVIRO 200 ,,Include
Auckland,HKF391,Howick And Eastern Buses,2014,2034,EURO V,"8,700",ALEXANDER DENNIS ENVIRO 200 ,,Include
Auckland,HKF392,Howick And Eastern Buses,2014,2034,EURO V,"8,700",ALEXANDER DENNIS ENVIRO 200 ,,Include
Auckland,HLD427,Howick And Eastern Buses,2014,2034,EURO V,"8,700",ALEXANDER DENNIS ENVIRO 200 ,,Include
Auckland,HLD428,Howick And Eastern Buses,2014,2034,EURO V,"8,700",ALEXANDER DENNIS ENVIRO 200 ,,Include
Auckland,HLK424,Howick And Eastern Buses,2014,2034,EURO V,"8,700",ALEXANDER DENNIS ENVIRO 200 ,,Include
Auckland,HLK427,Howick And Eastern Buses,2014,2034,EURO V,"8,700",ALEXANDER DENNIS ENVIRO 200 ,,Include
Auckland,HLP924,Howick And Eastern Buses,2014,2034,EURO V,"8,700",ALEXANDER DENNIS ENVIRO 200 ,,Include
Auckland,HLT222,Howick And Eastern Buses,2014,2034,EURO V,"8,700",ALEXANDER DENNIS ENVIRO 200 ,,Include
Auckland,HLT234,Howick And Eastern Buses,2014,2034,EURO V,"8,700",ALEXANDER DENNIS ENVIRO 200 ,,Include
Auckland,HLW682,Howick And Eastern Buses,2014,2034,EURO V,"8,700",ALEXANDER DENNIS ENVIRO 200 ,,Include
Auckland,HYY919,Howick And Eastern Buses,2015,2035,EURO V,"8,680",ALEXANDER DENNIS ENVIRO 200 ,,Include
